Arrow,Fire,knife,towardsOpponent,awayOpponent,movementChanges,biggestTrend,concurrent_game_id,player_type,player_simulation,iteration,healthChanges,timestamp
0,2,1,52,48,1,52,1,genn,genn,10,99,2020-06-11 11:50:02.009733
1,1,1,0,100,0,147,1,genn,genn,10,19,2020-06-11 11:50:03.171443
1,1,2,0,100,0,247,1,genn,genn,10,29,2020-06-11 11:50:04.273788
2,0,1,0,100,0,347,1,genn,genn,10,9,2020-06-11 11:50:05.322521
1,1,1,0,100,0,447,1,genn,genn,10,19,2020-06-11 11:50:06.409178
1,0,3,0,100,0,547,1,genn,genn,10,29,2020-06-11 11:50:07.472689
2,1,0,0,100,0,647,1,genn,genn,10,9,2020-06-11 11:50:08.560883
0,2,1,0,100,0,747,1,genn,genn,10,19,2020-06-11 11:50:09.671653
1,2,1,0,100,0,847,1,genn,genn,10,29,2020-06-11 11:50:10.695763
2,0,1,0,100,0,947,1,genn,genn,10,9,2020-06-11 11:50:11.761457
1,2,0,0,100,0,1047,1,genn,genn,10,19,2020-06-11 11:50:12.864940
1,1,2,0,100,0,1147,1,genn,genn,10,29,2020-06-11 11:50:13.954550
1,0,2,0,100,0,1247,1,genn,genn,10,9,2020-06-11 11:50:15.044145
1,1,1,0,100,0,1347,1,genn,genn,10,19,2020-06-11 11:50:16.118601
0,3,1,0,100,0,1447,1,genn,genn,10,29,2020-06-11 11:50:17.203393
1,1,1,0,100,0,1547,1,genn,genn,10,9,2020-06-11 11:50:18.396194
1,1,1,0,100,0,1647,1,genn,genn,10,19,2020-06-11 11:50:19.374031
0,3,1,0,100,0,1747,1,genn,genn,10,29,2020-06-11 11:50:20.372621
1,0,2,0,100,0,1847,1,genn,genn,10,9,2020-06-11 11:50:21.369509
1,2,0,0,100,0,1947,1,genn,genn,10,19,2020-06-11 11:50:22.384226
2,1,1,0,100,0,2047,1,genn,genn,10,29,2020-06-11 11:50:23.417326
0,2,1,0,100,0,2147,1,genn,genn,10,9,2020-06-11 11:50:24.464057
0,3,0,0,100,0,2247,1,genn,genn,10,19,2020-06-11 11:50:25.455782
1,3,0,0,100,0,2347,1,genn,genn,10,29,2020-06-11 11:50:26.499472
2,0,1,0,90,0,2437,1,genn,genn,10,29,2020-06-11 11:50:27.449149
